#,品牌ID,品牌名称,城市,平台,日期,门店ID,门店名称,GMV,下单人数,商家实收,商户补贴,平台补贴,无效订单数,曝光人数,有效订单数,进店人数
215,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-04,8165842,虹口足球场店,0,,0,0,0,0,,0,
216,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-04,8184590,五角场店,0,,0,0,0,0,,0,
217,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-04,8052557,真如店,0,,0,0,0,0,,0,
218,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-04,8223184,大宁店,0,,0,0,0,0,,0,
219,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-04,8106681,怒江路店,0,,0,0,0,0,,0,
220,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-04,8260331,大世界店,0,,0,0,0,0,,0,
221,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-05,8165842,虹口足球场店,0,,0,0,0,0,,0,
222,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-05,8184590,五角场店,0,,0,0,0,0,,0,
223,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-05,8052557,真如店,0,,0,0,0,0,,0,
224,4636,蛙小辣火锅杯（总账号）,上海,meituan,2019-10-05,8223184,大宁店,0,,0,0,0,0,,0,
